gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
RAB1A,P62820,Ras-related protein Rab-1A,PA,cytosol,-1.344776701,22.19375561,1.34e-8,no hit
YWHAZ,P63104,14-3-3 protein zeta/delta,PA,cytosol,-1.583010462,24.54746526,1.38e-8,no hit
MCMBP,Q9BTE3,Mini-chromosome maintenance complex-binding protein,PA,cytosol,-1.148021684,23.10450665,1.4e-8,no hit
RPL6,Q02878,60S ribosomal protein L6,PA,cytosol,-1.716591272,24.36563993,1.42e-8,no hit
PPA1,Q15181,Inorganic pyrophosphatase,PA,cytosol,-1.738413656,22.76450046,1.48e-8,no hit
PAIP1,Q9H074,Polyadenylate-binding protein-interacting protein 1,PA,cytosol,-1.330849572,20.38644958,1.5e-8,no hit
RPA1,P27694,Replication protein A 70 kDa DNA-binding subunit,PA,cytosol,-0.928760543,22.43051748,1.54e-8,no hit
OSBPL11,Q9BXB4,Oxysterol-binding protein-related protein 11,PA,cytosol,-1.423376305,17.06640493,1.55e-8,no hit
MVP,Q14764,Major vault protein,PA,cytosol,-1.225401059,19.71497732,1.56e-8,no hit
RHEB,Q15382,GTP-binding protein Rheb,PA,cytosol,-1.102766302,20.39130219,1.6e-8,no hit
DRG1,Q9Y295,Developmentally-regulated GTP-binding protein 1,PA,cytosol,-1.232595368,22.02997555,1.66e-8,no hit
EIF2S3,P41091,Eukaryotic translation initiation factor 2 subunit 3,PA,cytosol,-1.415770317,23.46972464,1.66e-8,no hit
HEATR3,Q7Z4Q2,HEAT repeat-containing protein 3,PA,cytosol,-1.093907839,20.88063463,1.67e-8,no hit
RPL11,P62913,60S ribosomal protein L11,PA,cytosol,-1.662894194,23.55784513,1.68e-8,no hit
NNMT,P40261,Nicotinamide N-methyltransferase,PA,cytosol,-1.846125654,21.34102464,1.74e-8,no hit
PPM1G,O15355,Protein phosphatase 1G,PA,cytosol,-1.422251838,23.94305847,1.74e-8,no hit
PREP,P48147,Prolyl endopeptidase,PA,cytosol,-1.509402285,23.40606174,1.76e-8,no hit
CAPN1,P07384,Calpain-1 catalytic subunit,PA,cytosol,-1.80431117,18.62815401,1.79e-8,no hit
BRCC3,P46736,Lys-63-specific deubiquitinase BRCC36,PA,cytosol,-1.572860031,17.74531527,1.81e-8,no hit
CFL2,Q9Y281,Cofilin-2,PA,cytosol,-1.229372419,19.19184344,1.81e-8,no hit
ADI1,Q9BV57,Acireductone dioxygenase,PA,cytosol,-1.809098587,20.5361728,1.83e-8,no hit
DHPS,P49366,Deoxyhypusine synthase,PA,cytosol,-1.460294174,20.29203351,1.84e-8,no hit
DDX21,Q9NR30,Nucleolar RNA helicase 2,PA,cytosol,-0.925317971,20.02827054,1.86e-8,no hit
EIF6,P56537,Eukaryotic translation initiation factor 6,PA,cytosol,-1.176422875,19.96575808,1.87e-8,no hit
GBE1,Q04446,"1,4-alpha-glucan-branching enzyme",PA,cytosol,-1.27602739,22.2640741,1.89e-8,no hit
IPO7,O95373,Importin-7,PA,cytosol,-1.517265531,24.15016927,1.9e-8,no hit
RAD1,O60671,Cell cycle checkpoint protein RAD1,PA,cytosol,-1.468061551,19.48681078,1.91e-8,no hit
TDP2,O95551,Tyrosyl-DNA phosphodiesterase 2,PA,cytosol,-1.160601767,20.17374793,1.92e-8,no hit
TSR1,Q2NL82,Pre-rRNA-processing protein TSR1 homolog,PA,cytosol,-1.100113919,21.11641241,1.92e-8,no hit
RPL30,P62888,60S ribosomal protein L30,PA,cytosol,-1.679063974,23.58537134,1.95e-8,no hit
WRNIP1,Q96S55,ATPase WRNIP1,PA,cytosol,-1.026788972,19.40835897,1.98e-8,no hit
RPL15,P61313,60S ribosomal protein L15,PA,cytosol,-1.578764679,24.45788399,2.04e-8,no hit
MYL12B,O14950,Myosin regulatory light chain 12B,PA,cytosol,-1.842513872,22.24256867,2.04e-8,no hit
CFAP20,Q9Y6A4,Cilia- and flagella-associated protein 20,PA,cytosol,-1.096148434,18.83884564,2.06e-8,no hit
POLR1C,O15160,DNA-directed RNA polymerases I and III subunit RPAC1,PA,cytosol,-1.430396328,20.16165523,2.25e-8,no hit
NUDT5,Q9UKK9,ADP-sugar pyrophosphatase,PA,cytosol,-1.46273771,24.27469457,2.27e-8,no hit
RTF1,Q92541,RNA polymerase-associated protein RTF1 homolog,PA,cytosol,-1.438262417,18.66717486,2.31e-8,no hit
NR3C1,P04150,Glucocorticoid receptor,PA,cytosol,-2.073170261,19.17084314,2.35e-8,no hit
UBLCP1,Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1,PA,cytosol,-1.784079728,20.22966076,2.46e-8,no hit
RPL4,P36578,60S ribosomal protein L4,PA,cytosol,-1.957483064,25.16344503,2.52e-8,no hit
UBR2,Q8IWV8,E3 ubiquitin-protein ligase UBR2,PA,cytosol,-1.29318602,20.10708104,2.52e-8,no hit
RPS4X,P62701,"40S ribosomal protein S4, X isoform",PA,cytosol,-1.428195847,24.91506212,2.56e-8,no hit
PDE12,Q6L8Q7,"2',5'-phosphodiesterase 12",PA,cytosol,-1.614970666,20.52730513,2.62e-8,no hit
YBX3,P16989,Y-box-binding protein 3,PA,cytosol,-2.062375614,19.15511798,2.68e-8,no hit
TNPO2,O14787,Transportin-2,PA,cytosol,-1.042408793,20.08268272,2.68e-8,no hit
RPS12,P25398,40S ribosomal protein S12,PA,cytosol,-1.295832118,22.55290323,2.71e-8,no hit
BROX,Q5VW32,BRO1 domain-containing protein BROX,PA,cytosol,-1.763948314,19.68767075,2.73e-8,no hit
LACTB2,Q53H82,Endoribonuclease LACTB2,PA,cytosol,-1.283898653,21.07653977,2.76e-8,no hit
EIF4B,P23588,Eukaryotic translation initiation factor 4B,PA,cytosol,-1.674925104,20.43888046,2.83e-8,no hit
EIF3A,Q14152,Eukaryotic translation initiation factor 3 subunit A,PA,cytosol,-1.287622334,25.36451898,2.85e-8,no hit
ZYX,Q15942,Zyxin,PA,cytosol,-1.856667055,20.67247214,2.9e-8,no hit
ALDOC,P09972,Fructose-bisphosphate aldolase C,PA,cytosol,-2.28181593,19.28483615,2.95e-8,no hit
PLIN4,Q96Q06,Perilipin-4,PA,cytosol,-2.512278549,18.86081207,3.05e-8,no hit
RPL17,P18621,60S ribosomal protein L17,PA,cytosol,-1.726210693,23.84847178,3.13e-8,no hit
RPS8,P62241,40S ribosomal protein S8,PA,cytosol,-1.556474914,24.11292398,3.17e-8,no hit
PSMD14,O00487,26S proteasome non-ATPase regulatory subunit 14,PA,cytosol,-1.329144673,21.9405449,3.17e-8,no hit
RPS15A,P62244,40S ribosomal protein S15a,PA,cytosol,-1.536441696,23.71791347,3.26e-8,no hit
HSPA2,P54652,Heat shock-related 70 kDa protein 2,PA,cytosol,-1.677622357,19.07067155,3.27e-8,no hit
SAMHD1,Q9Y3Z3,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,PA,cytosol,-1.091634312,19.37974053,3.34e-8,no hit
HIKESHI,Q53FT3,Protein Hikeshi,PA,cytosol,-1.813482179,18.77624538,3.34e-8,no hit
RABGEF1,Q9UJ41,Rab5 GDP/GTP exchange factor,PA,cytosol,-1.441931753,18.87270787,3.5e-8,no hit
LTV1,Q96GA3,Protein LTV1 homolog,PA,cytosol,-1.545469275,18.67292415,3.55e-8,no hit
DHX15,O43143,ATP-dependent RNA helicase DHX15,PA,cytosol,-1.244346121,23.10048365,3.6e-8,no hit
RPL28,P46779,60S ribosomal protein L28,PA,cytosol,-1.793699482,23.81390232,3.61e-8,no hit
ANKFY1,Q9P2R3,Rabankyrin-5,PA,cytosol,-1.094866071,18.92799338,3.62e-8,no hit
DNAJC21,Q5F1R6,DnaJ homolog subfamily C member 21,PA,cytosol,-1.630255641,20.24103151,3.68e-8,no hit
AIMP2,Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,PA,cytosol,-1.169962811,22.57738367,3.69e-8,no hit
RPS6,P62753,40S ribosomal protein S6,PA,cytosol,-1.64617786,24.16846415,3.73e-8,no hit
PSMB2,P49721,Proteasome subunit beta type-2,PA,cytosol,-1.185096104,23.29567616,3.96e-8,no hit
RPS17,P08708,40S ribosomal protein S17,PA,cytosol,-1.619427938,23.08763081,4e-8,no hit
CUL4A,Q13619,Cullin-4A,PA,cytosol,-1.125701962,22.71267604,4.25e-8,no hit
PPP6R1,Q9UPN7,Serine/threonine-protein phosphatase 6 regulatory subunit 1,PA,cytosol,-1.781109891,19.69835967,4.3e-8,no hit
RPL23A,P62750,60S ribosomal protein L23a,PA,cytosol,-2.187523057,23.5827422,4.43e-8,no hit
EIF2B5,Q13144,Translation initiation factor eIF-2B subunit epsilon,PA,cytosol,-1.507562213,19.33737631,4.49e-8,no hit
ISOC1,Q96CN7,Isochorismatase domain-containing protein 1,PA,cytosol,-1.423182826,20.73245611,4.49e-8,no hit
UBE3A,Q05086,Ubiquitin-protein ligase E3A,PA,cytosol,-1.267356193,16.77263728,4.5e-8,no hit
GMFB,P60983,Glia maturation factor beta,PA,cytosol,-1.378420099,19.2718802,4.55e-8,no hit
KANK1,Q14678,KN motif and ankyrin repeat domain-containing protein 1,PA,cytosol,-1.022239084,18.20102569,4.57e-8,no hit
TIAL1,Q01085,Nucleolysin TIAR,PA,cytosol,-1.063994539,20.20967201,4.67e-8,no hit
PRKACB,P22694,cAMP-dependent protein kinase catalytic subunit beta,PA,cytosol,-1.271993508,22.37010969,4.7e-8,no hit
PRDX5,P30044,"Peroxiredoxin-5, mitochondrial",PA,cytosol,-1.687385174,19.07310206,4.73e-8,no hit
PRKDC,P78527,DNA-dependent protein kinase catalytic subunit,PA,cytosol,-0.979134379,23.6422732,4.74e-8,no hit
PRPF3,O43395,U4/U6 small nuclear ribonucleoprotein Prp3,PA,cytosol,-1.555858624,18.43957359,4.85e-8,no hit
TRMT5,Q32P41,tRNA (guanine(37)-N1)-methyltransferase,PA,cytosol,-1.182745694,17.86947509,4.87e-8,no hit
SEC23B,Q15437,Protein transport protein Sec23B,PA,cytosol,-1.493124498,20.85276504,4.9e-8,no hit
DHX36,Q9H2U1,ATP-dependent DNA/RNA helicase DHX36,PA,cytosol,-1.376038445,20.14367834,5.01e-8,no hit
CAPZA1,P52907,F-actin-capping protein subunit alpha-1,PA,cytosol,-1.150595464,20.52410946,5.1e-8,no hit
IGF2BP3,O00425,Insulin-like growth factor 2 mRNA-binding protein 3,PA,cytosol,-1.098581096,21.17083493,5.2100000000000003e-08,no hit
NONO,Q15233,Non-POU domain-containing octamer-binding protein,PA,cytosol,-1.05831198,21.30884219,5.23e-8,no hit
PURA,Q00577,Transcriptional activator protein Pur-alpha,PA,cytosol,-1.013974274,19.6370007,5.27e-8,no hit
COLGALT1,Q8NBJ5,Procollagen galactosyltransferase 1,PA,cytosol,-1.18801316,19.39200262,5.35e-8,no hit
PRDX1,Q06830,Peroxiredoxin-1,PA,cytosol,-1.702804285,24.94077949,5.35e-8,no hit
SGTA,O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,PA,cytosol,-1.274048413,21.29149373,5.5e-8,no hit
GNL1,P36915,Guanine nucleotide-binding protein-like 1,PA,cytosol,-1.619743694,19.60315921,5.5e-8,no hit
PTGR1,Q14914,Prostaglandin reductase 1,PA,cytosol,-1.544501012,23.10478404,5.51e-8,no hit
ALDOA,P04075,Fructose-bisphosphate aldolase A,PA,cytosol,-2.265337812,24.76163881,5.53e-8,no hit
UBAP2L,Q14157,Ubiquitin-associated protein 2-like,PA,cytosol,-1.678819672,20.30696215,5.82e-8,no hit
NEMF,O60524,Ribosome quality control complex subunit NEMF,PA,cytosol,-1.615736387,20.14898559,5.84e-8,no hit
TPP2,P29144,Tripeptidyl-peptidase 2,PA,cytosol,-1.140405488,23.28595409,5.94e-8,no hit
PSMD1,Q99460,26S proteasome non-ATPase regulatory subunit 1,PA,cytosol,-1.280698213,23.10176345,5.99e-8,no hit
YKT6,O15498,Synaptobrevin homolog YKT6,PA,cytosol,-1.582575372,19.25687631,6.05e-8,no hit
OSGEP,Q9NPF4,tRNA N6-adenosine threonylcarbamoyltransferase,PA,cytosol,-1.120705853,19.52980939,6.14e-8,no hit
TELO2,Q9Y4R8,Telomere length regulation protein TEL2 homolog,PA,cytosol,-1.232836601,19.83348117,6.48e-8,no hit
DCUN1D1,Q96GG9,DCN1-like protein 1,PA,cytosol,-1.108630979,19.01862294,6.49e-8,no hit
SNRPD2,P62316,Small nuclear ribonucleoprotein Sm D2,PA,cytosol,-1.13065695,20.03164737,6.49e-8,no hit
USP5,P45974,Ubiquitin carboxyl-terminal hydrolase 5,PA,cytosol,-1.240942929,23.29016843,6.68e-8,no hit
DCXR,Q7Z4W1,L-xylulose reductase,PA,cytosol,-1.241623188,19.07565692,6.68e-8,no hit
CPPED1,Q9BRF8,Serine/threonine-protein phosphatase CPPED1,PA,cytosol,-1.831211541,20.2803019,7.16e-8,no hit
PPIL1,Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1,PA,cytosol,-1.107384018,21.23279,7.35e-8,no hit
OGA,O60502,Protein O-GlcNAcase,PA,cytosol,-1.310414996,23.11134263,7.75e-8,no hit
RANBP3,Q9H6Z4,Ran-binding protein 3,PA,cytosol,-1.580252494,19.7885465,7.88e-8,no hit
EIF2S1,P05198,Eukaryotic translation initiation factor 2 subunit 1,PA,cytosol,-1.408936912,23.49804777,7.9e-8,no hit
CCT7,Q99832,T-complex protein 1 subunit eta,PA,cytosol,-1.972686156,23.97579051,7.92e-8,no hit
PGM2,Q96G03,Phosphopentomutase,PA,cytosol,-1.430749215,23.37818467,8.02e-8,no hit
TRMT2A,Q8IZ69,tRNA (uracil-5-)-methyltransferase homolog A,PA,cytosol,-0.809932138,21.19594557,8.17e-8,no hit
CEP170,Q5SW79,Centrosomal protein of 170 kDa,PA,cytosol,-1.233226816,19.19141035,8.31e-8,no hit
SEC24C,P53992,Protein transport protein Sec24C,PA,cytosol,-1.29300361,20.89736882,8.4e-8,no hit
ARRB1,P49407,Beta-arrestin-1,PA,cytosol,-0.997894917,19.47551661,8.5e-8,no hit
DOHH,Q9BU89,Deoxyhypusine hydroxylase,PA,cytosol,-1.180784144,18.91407422,8.59e-8,no hit
SRI,P30626,Sorcin,PA,cytosol,-1.54131147,20.94240588,8.61e-8,no hit
SKIC8,Q9GZS3,SKI8 subunit of superkiller complex protein,PA,cytosol,-1.07423051,19.69699127,8.65e-8,no hit
FEN1,P39748,Flap endonuclease 1,PA,cytosol,-1.509302328,22.96700481,8.69e-8,no hit
SUMO2,P61956,Small ubiquitin-related modifier 2,PA,cytosol,-1.453874939,22.53578232,8.96e-8,no hit
NAP1L1,P55209,Nucleosome assembly protein 1-like 1,PA,cytosol,-2.097076228,22.76315237,9e-8,no hit
CASP8,Q14790,Caspase-8,PA,cytosol,-1.538823882,19.38293564,9.19e-8,no hit
UBL4A,P11441,Ubiquitin-like protein 4A,PA,cytosol,-1.286434696,20.36335003,9.2e-8,no hit
RPS11,P62280,40S ribosomal protein S11,PA,cytosol,-1.531327251,24.01346692,9.21e-8,no hit
CDC42,P60953,Cell division control protein 42 homolog,PA,cytosol,-1.979000611,19.97706548,9.59e-8,no hit
GPS1,Q13098,COP9 signalosome complex subunit 1,PA,cytosol,-0.998411877,22.4765791,9.78e-8,no hit
EEF1D,P29692,Elongation factor 1-delta,PA,cytosol,-1.581230546,22.28814083,9.81e-8,no hit
BUB3,O43684,Mitotic checkpoint protein BUB3,PA,cytosol,-0.888820086,21.82678637,9.89e-8,no hit
ANKHD1,Q8IWZ3,Ankyrin repeat and KH domain-containing protein 1,PA,cytosol,-0.9715849,17.4683354,1.03e-7,no hit
HUWE1,Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1,PA,cytosol,-1.328590653,24.26706386,1.03e-7,no hit
NAP1L4,Q99733,Nucleosome assembly protein 1-like 4,PA,cytosol,-1.677260038,21.29789874,1.03e-7,no hit
PSMD12,O00232,26S proteasome non-ATPase regulatory subunit 12,PA,cytosol,-1.303572555,22.69427875,1.04e-7,no hit
DCTD,P32321,Deoxycytidylate deaminase,PA,cytosol,-1.436486747,19.53465728,1.07e-7,no hit
QRICH1,Q2TAL8,Transcriptional regulator QRICH1,PA,cytosol,-1.043952152,20.74749939,1.08e-7,no hit
MSH6,P52701,DNA mismatch repair protein Msh6,PA,cytosol,-0.90998729,21.37839593,1.09e-7,no hit
STAT6,P42226,Signal transducer and activator of transcription 6,PA,cytosol,-1.23217319,20.56930514,1.1e-7,no hit
RPS21,P63220,40S ribosomal protein S21,PA,cytosol,-1.209754826,21.93163739,1.13e-7,no hit
CWF19L1,Q69YN2,CWF19-like protein 1,PA,cytosol,-1.219422202,17.26885749,1.16e-7,no hit
PSMA2,P25787,Proteasome subunit alpha type-2,PA,cytosol,-1.128732059,21.78729897,1.18e-7,no hit
CMPK1,P30085,UMP-CMP kinase,PA,cytosol,-1.690586992,20.50313383,1.19e-7,no hit
NHP2,Q9NX24,H/ACA ribonucleoprotein complex subunit 2,PA,cytosol,-1.319463486,19.39457024,1.19e-7,no hit
DCTPP1,Q9H773,dCTP pyrophosphatase 1,PA,cytosol,-1.335466568,20.62642557,1.21e-7,no hit
NUP155,O75694,Nuclear pore complex protein Nup155,PA,cytosol,-0.893488103,21.50406268,1.22e-7,no hit
RPL5,P46777,60S ribosomal protein L5,PA,cytosol,-1.482504071,24.92470788,1.22e-7,no hit
HPRT1,P00492,Hypoxanthine-guanine phosphoribosyltransferase,PA,cytosol,-1.509760424,23.07991949,1.23e-7,no hit
RPL10A,P62906,60S ribosomal protein L10a,PA,cytosol,-1.679001705,24.39980685,1.26e-7,no hit
EEF1G,P26641,Elongation factor 1-gamma,PA,cytosol,-1.263488679,24.90904251,1.29e-7,no hit
UCHL5,Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,PA,cytosol,-0.96209781,20.92114739,1.31e-7,no hit
LSM14A,Q8ND56,Protein LSM14 homolog A,PA,cytosol,-1.766650434,18.3932689,1.31e-7,no hit
YTHDF3,Q7Z739,YTH domain-containing family protein 3,PA,cytosol,-1.413284984,20.29580983,1.36e-7,no hit
TBC1D13,Q9NVG8,TBC1 domain family member 13,PA,cytosol,-1.606757043,20.07172722,1.37e-7,no hit
SF3A1,Q15459,Splicing factor 3A subunit 1,PA,cytosol,-1.061007245,17.9493343,1.4e-7,no hit
ATG3,Q9NT62,Ubiquitin-like-conjugating enzyme ATG3,PA,cytosol,-1.39114218,20.7169399,1.42e-7,no hit
TOE1,Q96GM8,Target of EGR1 protein 1,PA,cytosol,-1.347750926,18.60732561,1.46e-7,no hit
CYFIP1,Q7L576,Cytoplasmic FMR1-interacting protein 1,PA,cytosol,-1.799137265,19.40172244,1.47e-7,no hit
TFRC,P02786,Transferrin receptor protein 1,PA,cytosol,-0.810035606,19.10906563,1.49e-7,no hit
SEC13,P55735,Protein SEC13 homolog,PA,cytosol,-1.093191971,21.77500995,1.5e-7,no hit
CSDE1,O75534,Cold shock domain-containing protein E1,PA,cytosol,-1.498603036,23.49897968,1.54e-7,no hit
PGM1,P36871,Phosphoglucomutase-1,PA,cytosol,-1.40118781,23.84117054,1.59e-7,no hit
CAMSAP2,Q08AD1,Calmodulin-regulated spectrin-associated protein 2,PA,cytosol,-1.305938126,17.5815579,1.61e-7,no hit
CAPZB,P47756,F-actin-capping protein subunit beta,PA,cytosol,-1.291346118,22.81174421,1.67e-7,no hit
LUC7L,Q9NQ29,Putative RNA-binding protein Luc7-like 1,PA,cytosol,-1.049498206,18.85670488,1.71e-7,no hit
UBE2V1,Q13404,Ubiquitin-conjugating enzyme E2 variant 1,PA,cytosol,-1.358152424,22.01464559,1.72e-7,no hit
SFPQ,P23246,"Splicing factor, proline- and glutamine-rich",PA,cytosol,-1.622814208,18.43019943,1.76e-7,no hit
FKBP5,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,PA,cytosol,-0.881275553,21.97505759,1.8e-7,no hit
PCMT1,P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PA,cytosol,-1.148074527,19.33487422,1.83e-7,no hit
TNKS1BP1,Q9C0C2,182 kDa tankyrase-1-binding protein,PA,cytosol,-1.316577403,20.54298075,1.86e-7,no hit
PRKAA1,Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1,PA,cytosol,-1.575321863,18.60938916,1.88e-7,no hit
TUBGCP2,Q9BSJ2,Gamma-tubulin complex component 2,PA,cytosol,-1.493973115,17.8415449,1.88e-7,no hit
ZRANB2,O95218,Zinc finger Ran-binding domain-containing protein 2,PA,cytosol,-1.887832021,20.39480893,2e-7,no hit
ATL2,Q8NHH9,Atlastin-2,PA,cytosol,-0.932410483,19.24153773,2.03e-7,no hit
ARFIP2,P53365,Arfaptin-2,PA,cytosol,-1.417751306,19.43713828,2.07e-7,no hit
ACP1,P24666,Low molecular weight phosphotyrosine protein phosphatase,PA,cytosol,-1.297469169,19.87729853,2.12e-7,no hit
UGDH,O60701,UDP-glucose 6-dehydrogenase,PA,cytosol,-1.116333374,23.05262537,2.14e-7,no hit
AKR7A2,O43488,Aflatoxin B1 aldehyde reductase member 2,PA,cytosol,-1.218598965,18.86644015,2.2e-7,no hit
POLA1,P09884,DNA polymerase alpha catalytic subunit,PA,cytosol,-0.987769947,20.97223772,2.21e-7,no hit
RPL27,P61353,60S ribosomal protein L27,PA,cytosol,-1.641251093,23.22837429,2.26e-7,no hit
RPS7,P62081,40S ribosomal protein S7,PA,cytosol,-1.609985022,24.37351937,2.32e-7,no hit
CTTN,Q14247,Src substrate cortactin,PA,cytosol,-1.38648762,19.68277617,2.36e-7,no hit
PKN2,Q16513,Serine/threonine-protein kinase N2,PA,cytosol,-1.067309612,21.13246689,2.36e-7,no hit
PDLIM1,O00151,PDZ and LIM domain protein 1,PA,cytosol,-1.023689638,21.35265388,2.37e-7,no hit
TCP1,P17987,T-complex protein 1 subunit alpha,PA,cytosol,-1.818555707,23.28116371,2.44e-7,no hit
NT5C2,P49902,Cytosolic purine 5'-nucleotidase,PA,cytosol,-1.508442869,19.26840453,2.48e-7,no hit
RPL13,P26373,60S ribosomal protein L13,PA,cytosol,-1.793422506,24.22750419,2.48e-7,no hit
COPS6,Q7L5N1,COP9 signalosome complex subunit 6,PA,cytosol,-1.084427687,21.76453229,2.49e-7,no hit
EIF3D,O15371,Eukaryotic translation initiation factor 3 subunit D,PA,cytosol,-1.254356248,23.01960455,2.5e-7,no hit
GLOD4,Q9HC38,Glyoxalase domain-containing protein 4,PA,cytosol,-1.610007577,21.67732313,2.53e-7,no hit
PCBP2,Q15366,Poly(rC)-binding protein 2,PA,cytosol,-1.884312439,20.92765943,2.72e-7,no hit
AP1G1,O43747,AP-1 complex subunit gamma-1,PA,cytosol,-1.243042256,20.19578279,2.72e-7,no hit
RECQL,P46063,ATP-dependent DNA helicase Q1,PA,cytosol,-1.20136767,22.60312058,2.84e-7,no hit
TFG,Q92734,Protein TFG,PA,cytosol,-2.035848354,21.53130472,2.86e-7,no hit
UBE2E1,P51965,Ubiquitin-conjugating enzyme E2 E1,PA,cytosol,-1.396037366,20.460892779999998,2.86e-7,no hit
POLE3,Q9NRF9,DNA polymerase epsilon subunit 3,PA,cytosol,-1.456702121,17.50435695,2.92e-7,no hit
RPS13,P62277,40S ribosomal protein S13,PA,cytosol,-1.664017776,23.64428584,2.95e-7,no hit
H2AC17,P0C0S8,Histone H2A type 1,PA,cytosol,-1.283218057,21.84227097,2.99e-7,no hit
LRBA,P50851,Lipopolysaccharide-responsive and beige-like anchor protein,PA,cytosol,-1.406566169,20.19286952,3.07e-7,no hit
HNRNPA2B1,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,PA,cytosol,-0.965982959,21.23074433,3.15e-7,no hit
METTL16,Q86W50,RNA N6-adenosine-methyltransferase METTL16,PA,cytosol,-1.014682567,20.56794082,3.22e-7,no hit
FNTA,P49354,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,PA,cytosol,-1.195052881,19.17411425,3.4e-7,no hit
SYNCRIP,O60506,Heterogeneous nuclear ribonucleoprotein Q,PA,cytosol,-0.900098781,24.16828037,3.54e-7,no hit
POLA2,Q14181,DNA polymerase alpha subunit B,PA,cytosol,-0.833791187,19.49871813,3.55e-7,no hit
DNAJC9,Q8WXX5,DnaJ homolog subfamily C member 9,PA,cytosol,-1.902209979,19.12687248,3.55e-7,no hit
LCMT1,Q9UIC8,Leucine carboxyl methyltransferase 1,PA,cytosol,-1.246667916,18.81449079,3.57e-7,no hit
DBR1,Q9UK59,Lariat debranching enzyme,PA,cytosol,-0.992632319,19.36704529,3.57e-7,no hit
CUL4B,Q13620,Cullin-4B,PA,cytosol,-0.97853705,22.15789625,3.65e-7,no hit
RPS26,P62854,40S ribosomal protein S26,PA,cytosol,-1.635364004,22.40314445,3.67e-7,no hit
SUGT1,Q9Y2Z0,Protein SGT1 homolog,PA,cytosol,-1.289758076,19.57601942,3.73e-7,no hit
ENO1,P06733,Alpha-enolase,PA,cytosol,-1.718181254,25.59310345,3.78e-7,no hit
AIP,O00170,AH receptor-interacting protein,PA,cytosol,-1.242339845,19.78600505,3.82e-7,no hit
SEPTIN7,Q16181,Septin-7,PA,cytosol,-1.090535185,18.1743281,3.84e-7,no hit
FAM98B,Q52LJ0,Protein FAM98B,PA,cytosol,-1.051989385,18.33160113,3.95e-7,no hit
RAN,P62826,GTP-binding nuclear protein Ran,PA,cytosol,-1.327118155,25.22727707,3.99e-7,no hit
ZPR1,O75312,Zinc finger protein ZPR1,PA,cytosol,-1.014274126,16.3205123,4.18e-7,no hit
HSPA8,P11142,Heat shock cognate 71 kDa protein,PA,cytosol,-1.160380974,26.24590165,4.3e-7,no hit
PYM1,Q9BRP8,Partner of Y14 and mago,PA,cytosol,-2.040992614,18.93199986,4.4e-7,no hit
GOT1,P17174,"Aspartate aminotransferase, cytoplasmic",PA,cytosol,-1.530944518,24.00270041,4.42e-7,no hit
COPS4,Q9BT78,COP9 signalosome complex subunit 4,PA,cytosol,-1.021303736,22.31296651,4.48e-7,no hit
PPP3CA,Q08209,Protein phosphatase 3 catalytic subunit alpha,PA,cytosol,-1.196832405,21.78963659,4.52e-7,no hit
IPO8,O15397,Importin-8,PA,cytosol,-0.870163032,21.09151358,4.54e-7,no hit
HNRNPAB,Q99729,Heterogeneous nuclear ribonucleoprotein A/B,PA,cytosol,-1.126691659,20.23034502,4.59e-7,no hit
RPL21,P46778,60S ribosomal protein L21,PA,cytosol,-1.680925796,23.60397373,4.62e-7,no hit
SMC3,Q9UQE7,Structural maintenance of chromosomes protein 3,PA,cytosol,-1.084519051,17.99686766,4.71e-7,no hit
RPL22,P35268,60S ribosomal protein L22,PA,cytosol,-1.797650286,22.09905177,4.85e-7,no hit
RAB2A,P61019,Ras-related protein Rab-2A,PA,cytosol,-1.101404321,20.49306175,4.85e-7,no hit
PSMA3,P25788,Proteasome subunit alpha type-3,PA,cytosol,-1.23205377,23.78954498,4.87e-7,no hit
PSMD13,Q9UNM6,26S proteasome non-ATPase regulatory subunit 13,PA,cytosol,-1.258835005,22.89954923,4.91e-7,no hit
RANBP1,P43487,Ran-specific GTPase-activating protein,PA,cytosol,-1.839307852,20.86664844,4.97e-7,no hit
SEPTIN2,Q15019,Septin-2,PA,cytosol,-1.289750911,20.15308086,5.08e-7,no hit
HCFC1,P51610,Host cell factor 1,PA,cytosol,-0.983710866,17.97947759,5.25e-7,no hit
RPL19,P84098,60S ribosomal protein L19,PA,cytosol,-1.799397703,24.46406168,5.35e-7,no hit
WDR77,Q9BQA1,Methylosome protein 50,PA,cytosol,-1.215209926,20.70098251,5.36e-7,no hit
