"","gene_name","logFC","pvalue","hit_annotation","LipidProbe"
"1704","STIP1",-0.316943652,0.084495541,"no hit","1-10 FA"
"1705","DDX5",0.389032617,0.084653055,"no hit","1-10 FA"
"1706","PML",0.233082364,0.084992637,"no hit","1-10 FA"
"1707","TLN1",-0.24977225,0.085891482,"no hit","1-10 FA"
"1708","TXN",-0.439382415,0.086296165,"no hit","1-10 FA"
"1709","GLRX3",-0.36123887,0.08672158,"no hit","1-10 FA"
"1710","HSPE1",0.326898675,0.086944875,"no hit","1-10 FA"
"1711","WDR1",-0.294261277,0.087997941,"no hit","1-10 FA"
"1712","ITGB3",0.425216379,0.088224782,"no hit","1-10 FA"
"1713","SMU1",0.279822611,0.088413701,"no hit","1-10 FA"
"1714","NUP214",0.23393802,0.089420093,"no hit","1-10 FA"
"1715","GRSF1",0.296058461,0.089422322,"no hit","1-10 FA"
"1716","ECHS1",0.293663587,0.089547345,"no hit","1-10 FA"
"1717","HNRNPH1",0.252809201,0.090367695,"no hit","1-10 FA"
"1718","APEH",-0.594651552,0.090493835,"no hit","1-10 FA"
"1719","MYLK",0.225799516,0.091301962,"no hit","1-10 FA"
"1720","GBE1",-0.295432549,0.091871428,"no hit","1-10 FA"
"1721","PDCD11",0.299395072,0.092410154,"no hit","1-10 FA"
"1722","GLS",0.472320768,0.09259061,"no hit","1-10 FA"
"1723","HNRNPU",0.367701178,0.093164938,"no hit","1-10 FA"
"1724","SDHB",0.469711951,0.093182672,"no hit","1-10 FA"
"1725","E7EVH7|KLC1",-0.252527608,0.093311671,"no hit","1-10 FA"
"1726","GTPBP4",0.279951131,0.093345502,"no hit","1-10 FA"
"1727","DNAJC7",-0.253985389,0.0939999,"no hit","1-10 FA"
"1728","ERP29",0.59592813,0.094595957,"enriched candidate","1-10 FA"
"1729","NPM1",0.330176431,0.094726606,"no hit","1-10 FA"
"1730","TOP1",0.303622097,0.094782098,"no hit","1-10 FA"
"1731","UTP4",0.37959825,0.095131302,"no hit","1-10 FA"
"1732","MDH1",-0.40243982,0.095796899,"no hit","1-10 FA"
"1733","PAOX",0.2572346,0.096384263,"no hit","1-10 FA"
"1734","PCYT2",-0.383318389,0.096425649,"no hit","1-10 FA"
"1735","CALR",0.516900813,0.097997823,"no hit","1-10 FA"
"1736","HDGF",-0.383633335,0.098307955,"no hit","1-10 FA"
"1737","TOP2B",0.258010829,0.098521668,"no hit","1-10 FA"
"1738","2-Sep",-0.185344417,0.099830979,"no hit","1-10 FA"
"1739","ALDH7A1",0.186887944,0.100604751,"no hit","1-10 FA"
"1740","SKIV2L2",0.263613766,0.101225789,"no hit","1-10 FA"
"1741","NAA16",0.191095707,0.102197973,"no hit","1-10 FA"
"1742","RBM14",0.24801416,0.102515325,"no hit","1-10 FA"
"1743","ILF3",0.273160024,0.10333709,"no hit","1-10 FA"
"1744","DCTN1",-0.206331425,0.103708129,"no hit","1-10 FA"
"1745","ATP5B",0.247577945,0.104045145,"no hit","1-10 FA"
"1746","EIF3M",-0.265194424,0.104166717,"no hit","1-10 FA"
"1747","MARS2",0.228524907,0.104400078,"no hit","1-10 FA"
"1748","SPAG9",-0.314402527,0.104647735,"no hit","1-10 FA"
"1749","CTSB",0.297003431,0.104731484,"no hit","1-10 FA"
"1750","PSMA4",-0.264692145,0.105617959,"no hit","1-10 FA"
"1751","POFUT2",0.356282547,0.10590211,"no hit","1-10 FA"
"1752","ACTR3",-0.178765451,0.108018781,"no hit","1-10 FA"
"1753","CPSF3",0.356297546,0.108469715,"no hit","1-10 FA"
"1754","HARS",-0.383017441,0.109929109,"no hit","1-10 FA"
"1755","EPN1",0.325261393,0.110110713,"no hit","1-10 FA"
"1756","COPS6",-0.235359881,0.11020282,"no hit","1-10 FA"
"1757","DPYSL2",-0.351815073,0.110585915,"no hit","1-10 FA"
"1758","UPF1",-0.1648187,0.110679325,"no hit","1-10 FA"
"1759","AAMP",-0.536155,0.110927614,"no hit","1-10 FA"
"1760","U2AF1L5|U2AF1",0.480219029,0.113143091,"no hit","1-10 FA"
"1761","SPATA20",0.231696886,0.113321164,"no hit","1-10 FA"
"1762","XPO4",-0.178085342,0.113925043,"no hit","1-10 FA"
"1763","CKAP4",0.244330288,0.11462221,"no hit","1-10 FA"
"1764","NUP85",0.292198533,0.11487593,"no hit","1-10 FA"
"1765","IQGAP1",-0.236486615,0.115261509,"no hit","1-10 FA"
"1766","AARS2",0.262463844,0.116493924,"no hit","1-10 FA"
"1767","SSBP1",0.336039668,0.11666522,"no hit","1-10 FA"
"1768","GFM2",0.274174583,0.117513577,"no hit","1-10 FA"
"1769","CHD3",0.209746052,0.117745567,"no hit","1-10 FA"
"1770","S100A6",-0.641096119,0.11868569,"no hit","1-10 FA"
"1771","PGAM5",0.43119013,0.118875287,"no hit","1-10 FA"
"1772","HLA-C",0.25623804,0.118991001,"no hit","1-10 FA"
"1773","HKDC1",0.472209728,0.120397934,"no hit","1-10 FA"
"1774","HSPA8",-0.270147204,0.120566583,"no hit","1-10 FA"
"1775","TARDBP",0.502871418,0.120882438,"no hit","1-10 FA"
"1776","ABCF1",-0.247211715,0.121359534,"no hit","1-10 FA"
"1777","CBX5",0.41912098,0.12138077,"no hit","1-10 FA"
"1778","FHL2",-0.275722673,0.121922336,"no hit","1-10 FA"
"1779","SMC4",-0.281000483,0.122055909,"no hit","1-10 FA"
"1780","CASK",0.410962252,0.122909127,"no hit","1-10 FA"
"1781","RAI14",0.275974167,0.123937199,"no hit","1-10 FA"
"1782","YWHAG",-0.425476668,0.124372619,"no hit","1-10 FA"
"1783","CTSZ",0.222946089,0.125412611,"no hit","1-10 FA"
"1784","STRN3",-0.261954457,0.126161116,"no hit","1-10 FA"
"1785","PSMD13",-0.299893927,0.127773153,"no hit","1-10 FA"
"1786","SIAE",0.337367478,0.130014333,"no hit","1-10 FA"
"1787","TST",0.151671629,0.130563398,"no hit","1-10 FA"
"1788","LAMC1",0.18413026,0.130868481,"no hit","1-10 FA"
"1789","COPS4",-0.336911685,0.131310409,"no hit","1-10 FA"
"1790","GGT3P|GGT2|GGT1",0.443921653,0.131488451,"no hit","1-10 FA"
"1791","AGPS",0.271878494,0.131915717,"no hit","1-10 FA"
"1792","CAT",0.396227551,0.132091965,"no hit","1-10 FA"
"1793","PDPR",0.208454149,0.132094698,"no hit","1-10 FA"
"1794","DYNC1LI1",-0.253091492,0.133102215,"no hit","1-10 FA"
"1795","AHNAK",0.217132793,0.133459829,"no hit","1-10 FA"
"1796","SEC13",-0.212331081,0.133546893,"no hit","1-10 FA"
"1797","AP1B1",-0.223726607,0.133552728,"no hit","1-10 FA"
"1798","ATP5C1",0.269053987,0.133686442,"no hit","1-10 FA"
"1799","NUDT21",0.195093372,0.13586971,"no hit","1-10 FA"
"1800","U2SURP",0.28791184,0.136110481,"no hit","1-10 FA"
"1801","POGZ",0.346096589,0.137274214,"no hit","1-10 FA"
"1802","SF3B4",0.247632051,0.138950899,"no hit","1-10 FA"
"1803","PARP1",0.207445598,0.13985822,"no hit","1-10 FA"
"1804","FKBP9",0.187584447,0.141506468,"no hit","1-10 FA"
"1805","SF3A3",0.291596459,0.141517576,"no hit","1-10 FA"
"1806","PRPF19",0.205454746,0.141672444,"no hit","1-10 FA"
"1807","PECR",0.243538113,0.142307256,"no hit","1-10 FA"
"1808","DCBLD2",0.343058647,0.142533999,"no hit","1-10 FA"
"1809","CTNNA1",0.438069281,0.143192713,"no hit","1-10 FA"
"1810","RPL7A",-0.229774149,0.143635773,"no hit","1-10 FA"
"1811","FAM129B",-0.291807336,0.14431271,"no hit","1-10 FA"
"1812","MRPL12",0.192892713,0.144608498,"no hit","1-10 FA"
"1813","G6PD",-0.66195068,0.146610453,"no hit","1-10 FA"
"1814","ERO1A",0.218080142,0.147164375,"no hit","1-10 FA"
"1815","MELTF",0.375333055,0.147657117,"no hit","1-10 FA"
"1816","TNPO2",-0.235363288,0.148617449,"no hit","1-10 FA"
"1817","RAN",-0.242857809,0.148809315,"no hit","1-10 FA"
"1818","PGM1",-0.221394177,0.149837648,"no hit","1-10 FA"
"1819","CARS",-0.376520124,0.151833862,"no hit","1-10 FA"
"1820","HIST1H4A",0.264210789,0.152291365,"no hit","1-10 FA"
"1821","TP53BP1",0.206536568,0.152914984,"no hit","1-10 FA"
"1822","NAP1L1",-0.253058783,0.153792549,"no hit","1-10 FA"
"1823","PRDX4",0.305980879,0.154125092,"no hit","1-10 FA"
"1824","CPOX",0.195316163,0.154598436,"no hit","1-10 FA"
"1825","GALK2",-0.444712555,0.154927704,"no hit","1-10 FA"
"1826","PUF60",0.152839325,0.155148517,"no hit","1-10 FA"
"1827","RPS19",-0.227770846,0.155369521,"no hit","1-10 FA"
"1828","CTH",-0.502789747,0.157343062,"no hit","1-10 FA"
"1829","STAG2",0.275815496,0.15851591,"no hit","1-10 FA"
"1830","CPSF7",-0.246968728,0.1585895,"no hit","1-10 FA"
"1831","CDK5RAP3",0.268294494,0.158736071,"no hit","1-10 FA"
"1832","ST13|ST13P4",-0.303057362,0.158971254,"no hit","1-10 FA"
"1833","PTBP1",0.191848436,0.160463355,"no hit","1-10 FA"
"1834","RPL4",-0.313230603,0.161950766,"no hit","1-10 FA"
"1835","NOP56",0.285919063,0.163431518,"no hit","1-10 FA"
"1836","RPS3A",-0.20913726,0.163592358,"no hit","1-10 FA"
"1837","SIN3A",0.320606183,0.164953242,"no hit","1-10 FA"
"1838","AKR1B10",-0.702287725,0.165303248,"no hit","1-10 FA"
"1839","FKBP10",0.169155501,0.167720335,"no hit","1-10 FA"
"1840","NOL6",0.205130824,0.168394716,"no hit","1-10 FA"
"1841","XPO1",-0.220695864,0.16856687,"no hit","1-10 FA"
"1842","ACOX1",0.273514861,0.170745746,"no hit","1-10 FA"
"1843","TRIP12",0.311433007,0.170925484,"no hit","1-10 FA"
"1844","FTO",-0.371569939,0.170960203,"no hit","1-10 FA"
"1845","PICALM",-0.147630631,0.17098524,"no hit","1-10 FA"
"1846","NAGA",0.138377348,0.172416394,"no hit","1-10 FA"
"1847","MYO1B",0.290101429,0.173004844,"no hit","1-10 FA"
"1848","ARID1A",0.306166683,0.173462848,"no hit","1-10 FA"
"1849","PHGDH",-0.710461789,0.175389519,"no hit","1-10 FA"
"1850","SEC16A",-0.295069719,0.176378662,"no hit","1-10 FA"
"1851","MCM7",-0.345479032,0.177169445,"no hit","1-10 FA"
"1852","FLNC",-0.152489754,0.179965152,"no hit","1-10 FA"
"1853","VPS35",-0.196008186,0.180670757,"no hit","1-10 FA"
"1854","RCN2",0.330277062,0.181065086,"no hit","1-10 FA"
"1855","NSF",-0.19257062,0.181645588,"no hit","1-10 FA"
"1856","GTF2I",0.279911724,0.182639458,"no hit","1-10 FA"
"1857","RPL27A",-0.197006385,0.182707075,"no hit","1-10 FA"
"1858","SKP1",-0.312220086,0.182937247,"no hit","1-10 FA"
"1859","RPS3",-0.183121572,0.18310338,"no hit","1-10 FA"
"1860","LASP1",-0.427060619,0.183273651,"no hit","1-10 FA"
"1861","APLP2",0.217534058,0.183429825,"no hit","1-10 FA"
"1862","ACTN4",0.147867264,0.184436696,"no hit","1-10 FA"
"1863","FLNA",-0.165760585,0.184557729,"no hit","1-10 FA"
"1864","RBM25",0.304914783,0.185230165,"no hit","1-10 FA"
"1865","NQO1",-0.539846542,0.18528862,"no hit","1-10 FA"
"1866","SERPINE1",0.499966971,0.186235336,"no hit","1-10 FA"
"1867","IVD",0.201727116,0.186578747,"no hit","1-10 FA"
"1868","SUPT16H",0.142430297,0.186935155,"no hit","1-10 FA"
"1869","HNRNPC",0.264074854,0.1870831,"no hit","1-10 FA"
"1870","ANXA4",-0.788025655,0.187840758,"no hit","1-10 FA"
"1871","MTHFD2",0.280943341,0.189222124,"no hit","1-10 FA"
"1872","BCL2L13",0.200106182,0.189560054,"no hit","1-10 FA"
"1873","MANBA",0.236462867,0.190265347,"no hit","1-10 FA"
"1874","RPL17|RPL17-C18orf32",-0.212545697,0.190480856,"no hit","1-10 FA"
"1875","TNS3",-0.179898252,0.190559332,"no hit","1-10 FA"
"1876","PPIH",-0.166387014,0.192021932,"no hit","1-10 FA"
"1877","CTTN",0.164929977,0.192368331,"no hit","1-10 FA"
"1878","LRRC15",0.286052838,0.192781835,"no hit","1-10 FA"
"1879","PRDX2",-0.428277251,0.197002002,"no hit","1-10 FA"
"1880","PCCB",0.170251182,0.19700893,"no hit","1-10 FA"
"1881","CHD4",0.260791658,0.19829738,"no hit","1-10 FA"
"1882","MAP1B",-0.430328711,0.19910939,"no hit","1-10 FA"
"1883","NCAPD2",-0.171046579,0.199222976,"no hit","1-10 FA"
"1884","NUP205",0.221293248,0.199261424,"no hit","1-10 FA"
"1885","HIST1H1B",0.203421,0.199949551,"no hit","1-10 FA"
"1886","CHERP",0.199342831,0.202041454,"no hit","1-10 FA"
"1887","BAT3|BAG6",-0.18736075,0.203692857,"no hit","1-10 FA"
"1888","HNRNPF",0.153126686,0.204644721,"no hit","1-10 FA"
"1889","NUP188",0.28634942,0.206332978,"no hit","1-10 FA"
"1890","SYMPK",0.436824726,0.206901923,"no hit","1-10 FA"
"1891","EHMT1",0.25505218,0.210405294,"no hit","1-10 FA"
"1892","KPNB1",-0.240069471,0.211834684,"no hit","1-10 FA"
"1893","SNRNP70",0.236584061,0.213433586,"no hit","1-10 FA"
"1894","NUP107",0.291843726,0.214227785,"no hit","1-10 FA"
"1895","PSAT1",-0.495099686,0.214609542,"no hit","1-10 FA"
"1896","KPNA1",-0.125613252,0.215340273,"no hit","1-10 FA"
"1897","NUP133",0.219999778,0.216349454,"no hit","1-10 FA"
"1898","TGM2",-0.675870522,0.216693054,"no hit","1-10 FA"
"1899","HEATR1",0.288376311,0.216719489,"no hit","1-10 FA"
"1900","DARS",-0.184389848,0.217461575,"no hit","1-10 FA"
"1901","YBX1",-0.155315455,0.217472367,"no hit","1-10 FA"
"1902","MRPL49",0.142613757,0.21830343,"no hit","1-10 FA"
"1903","KARS",-0.231875201,0.218983286,"no hit","1-10 FA"
"1904","ARHGAP1",-0.205428916,0.219148043,"no hit","1-10 FA"
"1905","EIF4E",-0.147769577,0.219679516,"no hit","1-10 FA"
"1906","GPT2",0.189509187,0.220154114,"no hit","1-10 FA"
"1907","VARS2",0.189332901,0.220831161,"no hit","1-10 FA"
"1908","NUP155",0.186205094,0.221359901,"no hit","1-10 FA"
"1909","EXOSC5",0.238199218,0.222364266,"no hit","1-10 FA"
"1910","ZYX",-0.412886856,0.223836724,"no hit","1-10 FA"
"1911","MAT2A",-0.341143714,0.225544914,"no hit","1-10 FA"
"1912","CALU",0.346876357,0.226315826,"no hit","1-10 FA"
"1913","MRE11A",0.192150968,0.227763866,"no hit","1-10 FA"
"1914","SUPV3L1",0.274835408,0.229610704,"no hit","1-10 FA"
"1915","PDHB",0.216690724,0.230260862,"no hit","1-10 FA"
"1916","DDX6",-0.146917072,0.230743772,"no hit","1-10 FA"
"1917","KIAA1429",0.309304362,0.231265749,"no hit","1-10 FA"
"1918","RTL1",-0.496013387,0.233577003,"no hit","1-10 FA"
"1919","CRLF3",-0.171214565,0.234183005,"no hit","1-10 FA"
"1920","IMP3",0.27517181,0.236159632,"no hit","1-10 FA"
"1921","STRBP",0.175975661,0.236163689,"no hit","1-10 FA"
"1922","NUP93",0.194845656,0.236181992,"no hit","1-10 FA"
"1923","ALDH2",0.162638951,0.23623355,"no hit","1-10 FA"
"1924","GARS",-0.344626722,0.237886069,"no hit","1-10 FA"
"1925","UTRN",0.224958094,0.238037014,"no hit","1-10 FA"
"1926","LAP3",0.148482672,0.238663807,"no hit","1-10 FA"
"1927","DCD",0.608348553,0.239033611,"no hit","1-10 FA"
"1928","LSS",0.412375895,0.239948681,"no hit","1-10 FA"
"1929","EFHD2",-0.23356351,0.240069669,"no hit","1-10 FA"
"1930","EIF1AY|EIF1AX",-0.193054771,0.241338742,"no hit","1-10 FA"
"1931","MCM2",-0.283185933,0.241573223,"no hit","1-10 FA"
"1932","DPP7",0.201523226,0.243873369,"no hit","1-10 FA"
"1933","XRCC5",-0.14480403,0.247600993,"no hit","1-10 FA"
"1934","EIF2S3|EIF2S3L",-0.313509805,0.249193937,"no hit","1-10 FA"
"1935","DDB1",-0.131492473,0.24967803,"no hit","1-10 FA"
"1936","BOP1",0.184052397,0.249848941,"no hit","1-10 FA"
"1937","HMGN1",0.213868663,0.251790215,"no hit","1-10 FA"
"1938","HNRNPR",0.296881571,0.253660224,"no hit","1-10 FA"
"1939","RPL9",-0.237337781,0.256420624,"no hit","1-10 FA"
"1940","SND1",0.237527676,0.261121488,"no hit","1-10 FA"
"1941","NUP54",0.15201738,0.261620396,"no hit","1-10 FA"
"1942","ACSL4",0.227122489,0.261669504,"no hit","1-10 FA"
"1943","XRCC6",-0.136642444,0.262690613,"no hit","1-10 FA"
"1944","ARCN1",-0.135829569,0.263146934,"no hit","1-10 FA"
"1945","MYH9",-0.226711611,0.263223859,"no hit","1-10 FA"
"1946","OGDHL",0.138119073,0.263751192,"no hit","1-10 FA"
"1947","KHSRP",0.124221145,0.264517215,"no hit","1-10 FA"
"1948","VCP",-0.169082575,0.264744815,"no hit","1-10 FA"
"1949","NACA",-0.284924854,0.266279264,"no hit","1-10 FA"
"1950","DDX1",-0.126616405,0.26762866,"no hit","1-10 FA"
"1951","MCM4",-0.247011529,0.27130116,"no hit","1-10 FA"
"1952","SPTAN1",0.142343465,0.271610984,"no hit","1-10 FA"
"1953","SCIN",0.199056134,0.272194835,"no hit","1-10 FA"
"1954","ALDH1B1",0.187404767,0.273040844,"no hit","1-10 FA"
"1955","PRKCSH",0.472833882,0.275287084,"no hit","1-10 FA"
"1956","GPX4",-0.205410743,0.279997273,"no hit","1-10 FA"
"1957","TRMT10C",0.259597287,0.28290977,"no hit","1-10 FA"
"1958","RIF1",0.282075496,0.286301993,"no hit","1-10 FA"
"1959","USP39",-0.146742059,0.287598364,"no hit","1-10 FA"
"1960","TSFM",0.142123262,0.288764618,"no hit","1-10 FA"
"1961","RBBP7",0.150004962,0.288788909,"no hit","1-10 FA"
"1962","NAPA",-0.153053708,0.288953865,"no hit","1-10 FA"
"1963","PTPN1",0.212621778,0.289003289,"no hit","1-10 FA"
"1964","TNKS1BP1",0.121499385,0.290466626,"no hit","1-10 FA"
"1965","PMPCA",0.115711178,0.290853035,"no hit","1-10 FA"
"1966","ATXN2L",-0.191020428,0.291688068,"no hit","1-10 FA"
"1967","SRRT",0.144324952,0.291710509,"no hit","1-10 FA"
"1968","MPHOSPH8",0.191131964,0.292319061,"no hit","1-10 FA"
"1969","ALDH9A1",-0.130631197,0.293541967,"no hit","1-10 FA"
"1970","KDELC1",0.457726428,0.294264669,"no hit","1-10 FA"
"1971","ILF2",0.225313509,0.294798589,"no hit","1-10 FA"
"1972","RRAS2",0.207612735,0.295265195,"no hit","1-10 FA"
"1973","KDM1A",0.145359964,0.296461119,"no hit","1-10 FA"
"1974","PPP1CB",-0.190001003,0.297153143,"no hit","1-10 FA"
"1975","SYNCRIP",0.148110295,0.297850138,"no hit","1-10 FA"
"1976","9-Sep",-0.158840784,0.300113613,"no hit","1-10 FA"
"1977","SYNE2",0.363251508,0.300670818,"no hit","1-10 FA"
"1978","RAD50",-0.128196284,0.300724667,"no hit","1-10 FA"
"1979","RPL7",-0.23545047,0.30259727,"no hit","1-10 FA"
"1980","RFC3",0.142384506,0.304610864,"no hit","1-10 FA"
"1981","LSM6",-0.174114724,0.305543913,"no hit","1-10 FA"
"1982","PSMD5",-0.1544333,0.306319373,"no hit","1-10 FA"
"1983","TBCD",-0.287113277,0.306347347,"no hit","1-10 FA"
"1984","PRKACB|PRKACA",0.137775799,0.306450506,"no hit","1-10 FA"
"1985","HSD17B4",0.17259858,0.306879645,"no hit","1-10 FA"
"1986","GLYR1",0.199173776,0.307077706,"no hit","1-10 FA"
"1987","PPP1CA",0.129904345,0.307190544,"no hit","1-10 FA"
"1988","GPS1",-0.134601851,0.309594694,"no hit","1-10 FA"
"1989","GLA",0.349603408,0.31222648,"no hit","1-10 FA"
"1990","CTSL",0.116760876,0.313369069,"no hit","1-10 FA"
"1991","CWC22",0.176773844,0.315503046,"no hit","1-10 FA"
"1992","TOP2A",0.250803751,0.320811372,"no hit","1-10 FA"
"1993","ALDH6A1",0.141651006,0.321988549,"no hit","1-10 FA"
"1994","KPRP",0.494868734,0.325027637,"no hit","1-10 FA"
"1995","RPL3",-0.150702288,0.326135029,"no hit","1-10 FA"
"1996","HSPE1-MOB4",0.143076903,0.327039261,"no hit","1-10 FA"
"1997","RAB18",0.138158961,0.330744933,"no hit","1-10 FA"
"1998","SMARCA5",0.222947235,0.330780935,"no hit","1-10 FA"
"1999","GGH",0.253657848,0.331704437,"no hit","1-10 FA"
"2000","SNX1",0.118110534,0.333505514,"no hit","1-10 FA"
"2001","PCK2",0.134800959,0.33436703,"no hit","1-10 FA"
"2002","TPM3",-0.230823687,0.336575791,"no hit","1-10 FA"
"2003","FXN",0.150701441,0.337169397,"no hit","1-10 FA"
"2004","PITRM1",0.181858123,0.337435938,"no hit","1-10 FA"
"2005","IGF2BP3",-0.155013198,0.33876833,"no hit","1-10 FA"
"2006","PKP1",0.295647232,0.339309881,"no hit","1-10 FA"
"2007","COL4A3BP",-0.126290616,0.341985913,"no hit","1-10 FA"
"2008","TEAD1",0.389248662,0.345191321,"no hit","1-10 FA"
"2009","FLII",0.144232013,0.34667601,"no hit","1-10 FA"
"2010","MAPK14",-0.177565067,0.346855177,"no hit","1-10 FA"
"2011","DCTN2",-0.135259168,0.349662344,"no hit","1-10 FA"
"2012","RCN1",0.244865207,0.352336143,"no hit","1-10 FA"
"2013","EZR",-0.118448748,0.353160147,"no hit","1-10 FA"
"2014","EML2",-0.258670458,0.353368529,"no hit","1-10 FA"
"2015","DSG1",0.534904201,0.354482009,"no hit","1-10 FA"
"2016","PRPF8",0.126067427,0.356168141,"no hit","1-10 FA"
"2017","SEC23A",-0.135733069,0.356911157,"no hit","1-10 FA"
"2018","KPNA3",-0.162933215,0.35739299,"no hit","1-10 FA"
"2019","HSPA1B|HSPA1A",-0.164359579,0.357630935,"no hit","1-10 FA"
"2020","EIF3I",-0.127685325,0.358360139,"no hit","1-10 FA"
"2021","PPA2",0.132253026,0.360337506,"no hit","1-10 FA"
"2022","RSF1",0.245456459,0.362612999,"no hit","1-10 FA"
"2023","FN1",0.281903717,0.367392066,"no hit","1-10 FA"
"2024","AP2B1",0.132997051,0.36843101,"no hit","1-10 FA"
"2025","FKBP8",0.133862534,0.372387558,"no hit","1-10 FA"
"2026","LEO1",0.114411021,0.374133202,"no hit","1-10 FA"
"2027","SF3B2",0.163627875,0.376132782,"no hit","1-10 FA"
"2028","LAS1L",0.175739808,0.376888529,"no hit","1-10 FA"
"2029","CYP3A5",0.166670637,0.380966925,"no hit","1-10 FA"
"2030","OSBPL6",-0.1272046,0.381069158,"no hit","1-10 FA"
"2031","TIMM44",0.232927615,0.381456777,"no hit","1-10 FA"
"2032","CHD8|CHD9|CHD7",0.252537949,0.381625075,"no hit","1-10 FA"
"2033","KHDRBS1",0.206776566,0.384088938,"no hit","1-10 FA"
"2034","EPS15L1",-0.161331126,0.384933045,"no hit","1-10 FA"
"2035","ARG1",0.407498845,0.387148822,"no hit","1-10 FA"
"2036","COL6A1",0.376898277,0.388415503,"no hit","1-10 FA"
"2037","VBP1",-0.191866668,0.392034563,"no hit","1-10 FA"
"2038","TNPO1",-0.127086257,0.392038033,"no hit","1-10 FA"
"2039","RAB5C",0.105806615,0.399734168,"no hit","1-10 FA"
"2040","ARPC1B",-0.133500372,0.401878915,"no hit","1-10 FA"
"2041","CDH6",0.327338895,0.402241791,"no hit","1-10 FA"
"2042","GSN",-0.326574913,0.403047572,"no hit","1-10 FA"
"2043","IQGAP2",-0.212987606,0.405103614,"no hit","1-10 FA"
"2044","C14orf166",0.097321466,0.406033694,"no hit","1-10 FA"
"2045","NUP160",0.208888173,0.406967223,"no hit","1-10 FA"
"2046","LSM8",0.11698068,0.410024477,"no hit","1-10 FA"
"2047","SMC1A",0.151124578,0.415384316,"no hit","1-10 FA"
"2048","FSCN1",-0.322962369,0.417112141,"no hit","1-10 FA"
"2049","EWSR1",-0.16314218,0.418134831,"no hit","1-10 FA"
"2050","NFU1",0.119352246,0.418162524,"no hit","1-10 FA"
"2051","EIF3A",-0.152847933,0.423874821,"no hit","1-10 FA"
"2052","GNPDA1",-0.207216691,0.424578602,"no hit","1-10 FA"
"2053","FUS",0.135229531,0.425053049,"no hit","1-10 FA"
"2054","CNOT1",-0.128884893,0.427681858,"no hit","1-10 FA"
"2055","HOGA1",0.140379907,0.430249902,"no hit","1-10 FA"
"2056","NPC2",0.196239871,0.432611579,"no hit","1-10 FA"
"2057","RAB11A|RAB11B",0.103177516,0.433336262,"no hit","1-10 FA"
"2058","DSC1",0.49290061,0.433464474,"no hit","1-10 FA"
"2059","HNRNPH3",0.080347108,0.436500162,"no hit","1-10 FA"
"2060","TRNT1",0.105194133,0.437255589,"no hit","1-10 FA"
"2061","G3BP1",0.092595633,0.438482778,"no hit","1-10 FA"
"2062","7-Sep",-0.114506388,0.439305086,"no hit","1-10 FA"
"2063","MYL12A|MYL12B",-0.199635356,0.439556186,"no hit","1-10 FA"
"2064","DSP",0.432380086,0.440008681,"no hit","1-10 FA"
"2065","MKI67",0.192662635,0.441896858,"no hit","1-10 FA"
"2066","XRN2",0.123059313,0.442729254,"no hit","1-10 FA"
"2067","CCT2",0.143083174,0.444709268,"no hit","1-10 FA"
"2068","HNRNPUL1",0.073826721,0.445919682,"no hit","1-10 FA"
"2069","FAHD1",0.178376539,0.44631624,"no hit","1-10 FA"
"2070","OAT",-0.172844581,0.447673322,"no hit","1-10 FA"
"2071","CD2BP2",0.102875217,0.450151817,"no hit","1-10 FA"
"2072","MCM3",-0.192671755,0.451586984,"no hit","1-10 FA"
"2073","EIF3D",-0.079733179,0.452584249,"no hit","1-10 FA"
"2074","PABPC1",-0.0843843,0.458439704,"no hit","1-10 FA"
"2075","CTBP1",-0.09492531,0.458510608,"no hit","1-10 FA"
"2076","HDLBP",-0.085906539,0.460289983,"no hit","1-10 FA"
"2077","FAHD2A",0.105568619,0.463052558,"no hit","1-10 FA"
"2078","HEXB",0.164737272,0.463536643,"no hit","1-10 FA"
"2079","EXOSC7",0.134601514,0.464549879,"no hit","1-10 FA"
"2080","ATPAF1",0.131040334,0.468146112,"no hit","1-10 FA"
"2081","EIF3L",-0.118758914,0.468853737,"no hit","1-10 FA"
"2082","RAB1A",0.089899571,0.470341809,"no hit","1-10 FA"
"2083","ECI1",0.151213231,0.480011913,"no hit","1-10 FA"
"2084","CTNNB1",0.213463532,0.482326097,"no hit","1-10 FA"
"2085","CSNK2A1",-0.118950445,0.482443707,"no hit","1-10 FA"
"2086","CCT4",-0.09880801,0.490722086,"no hit","1-10 FA"
"2087","EPB41L2",0.121622386,0.490885044,"no hit","1-10 FA"
"2088","NUB1",0.12228983,0.493787839,"no hit","1-10 FA"
"2089","NUP37",0.08950513,0.50063161,"no hit","1-10 FA"
"2090","MYO1E",-0.121581078,0.503791554,"no hit","1-10 FA"
"2091","JUP",0.271917876,0.504134849,"no hit","1-10 FA"
"2092","AP2M1",0.103448417,0.50807074,"no hit","1-10 FA"
"2093","NUP98",0.158595976,0.508368799,"no hit","1-10 FA"
"2094","RAE1",0.087048873,0.5106898,"no hit","1-10 FA"
"2095","ACTL6A",0.144613976,0.511682085,"no hit","1-10 FA"
"2096","INTS3",0.123370199,0.516006793,"no hit","1-10 FA"
"2097","ANLN",-0.237419145,0.517218694,"no hit","1-10 FA"
"2098","ANK2",0.196925212,0.518551203,"no hit","1-10 FA"
